subject_id,race,sex,age,has_injury,role,role_number,resistance
350,Black,Male,33,No,A,1,fled in vehicle
351,Black,Male,33,No,A,1,commission of crime
352,Black,Male,22,No,A,1,fled on foot
353,Black,Female,20,,OT,2,tensed
354,Black,Male,29,No,A,1,commission of crime
355,Black,Male,42,No,A,1,tensed
356,Black,Male,30,No,A,1,fled in vehicle
357,Black,Male,44,No,A,1,verbal non-compliance
358,Asian,Male,16,Yes,A,1,fled on foot
359,Black,Male,21,Yes,A,1,unspecified
360,Black,Male,28,No,A,2,commission of crime
361,Black,Male,18,No,OT,1,tensed
362,Black,Male,38,No,A,1,fled on foot
363,White,Male,33,No,S,1,tensed
364,White,Male,29,No,A,1,assaulted officer
365,Black,Female,18,Yes,A,3,fled on foot
366,Black,Male,18,Yes,A,1,fled on foot
367,Asian,Male,14,No,A,3,fled on foot
368,Black,Male,30,No,A,1,fled in vehicle
369,Native American,Male,23,No,A,1,tensed
370,Black,Male,16,,A,1,commission of crime
371,Black,Male,18,No,A,1,tensed
372,Black,Male,26,Yes,A,1,commission of crime
373,Black,Male,24,No,A,1,commission of crime
374,Black,Male,21,No,A,1,commission of crime
375,Null,Male,15,Yes,A,1,fled in vehicle
376,Black,Male,35,No,A,1,tensed
377,Black,Male,41,Yes,A,1,tensed
378,Native American,Male,19,No,A,1,commission of crime
379,White,Male,31,No,OT,1,unspecified
380,White,Male,44,Yes,A,1,fled in vehicle
381,Black,Male,43,No,A,2,verbal non-compliance
382,Native American,Female,39,,A,1,assaulted officer
383,Black,Male,34,No,A,1,tensed
384,Native American,Male,23,No,A,1,tensed
385,Native American,Male,33,Yes,V,1,tensed
386,Black,Male,16,Yes,A,1,commission of crime
387,White,Male,24,No,A,1,tensed
388,Black,Male,32,,A,1,fled on foot
389,Black,Male,29,No,A,1,verbal non-compliance
390,Black,Female,20,,S,3,unspecified
391,White,Male,44,Yes,A,1,fled in vehicle
392,White,Male,28,,A,1,tensed
393,Black,Male,16,No,A,1,fled on foot
394,White,Male,25,,S,1,assaulted officer
395,Black,Male,35,No,A,1,verbal non-compliance
396,White,Female,31,Yes,A,2,verbal non-compliance
397,Black,Male,29,No,A,1,verbal non-compliance
398,Black,Male,17,Yes,A,2,fled on foot
399,Other / Mixed Race,Male,23,Yes,A,1,unspecified
400,Black,Male,38,No,A,1,fled on foot
401,White,Male,30,No,OT,1,fled on foot
402,Black,Male,29,No,OT,1,tensed
403,Asian,Male,16,No,A,2,fled on foot
