neighborhood_summary_id,year,neighborhood_id,total_calls
851,2014,66,4
852,2015,66,1
853,2016,66,11
854,2017,66,3
855,2018,66,1
856,2019,66,1
857,2020,66,8
858,2008,67,11
859,2009,67,5
860,2010,67,12
861,2011,67,4
862,2012,67,2
863,2013,67,3
864,2014,67,2
865,2015,67,12
866,2016,67,6
867,2017,67,4
868,2018,67,3
869,2019,67,3
870,2020,67,8
871,2008,68,2
872,2009,68,2
873,2010,68,1
874,2011,68,1
875,2012,68,1
876,2013,68,1
877,2014,68,1
878,2015,68,2
879,2016,68,5
880,2017,68,10
881,2018,68,7
882,2019,68,1
883,2020,68,10
884,2008,69,6
885,2009,69,5
886,2010,69,1
887,2011,69,2
888,2012,69,1
889,2013,69,1
890,2014,69,9
891,2015,69,2
892,2016,69,1
893,2017,69,8
894,2018,69,2
895,2019,69,9
896,2020,69,1
897,2008,70,3
898,2009,70,13
899,2010,70,8
900,2011,70,5
901,2012,70,2
902,2013,70,1
903,2014,70,2
904,2015,70,5
905,2016,70,1
906,2017,70,8
907,2018,70,8
908,2019,70,4
909,2020,70,7
910,2008,71,8
911,2009,71,14
912,2010,71,13
913,2011,71,2
914,2012,71,8
915,2013,71,6
916,2014,71,1
917,2015,71,2
918,2016,71,8
919,2017,71,3
920,2018,71,6
921,2019,71,1
922,2020,71,11
923,2008,72,2
924,2009,72,15
925,2010,72,2
926,2011,72,9
927,2012,72,2
928,2013,72,1
929,2014,72,8
930,2015,72,3
931,2016,72,1
932,2017,72,7
933,2018,72,5
934,2019,72,6
935,2020,72,8
936,2008,73,6
937,2009,73,4
938,2010,73,1
939,2011,73,1
940,2012,73,2
941,2013,73,1
942,2014,73,1
943,2015,73,2
944,2016,73,1
945,2017,73,1
946,2018,73,1
947,2019,73,1
948,2020,73,12
949,2008,74,3
950,2009,74,2
951,2010,74,5
952,2011,74,1
953,2012,74,1
954,2013,74,1
955,2014,74,13
956,2015,74,3
957,2016,74,1
958,2017,74,1
959,2018,74,1
960,2019,74,2
961,2020,74,3
962,2008,75,3
963,2009,75,1
964,2010,75,5
965,2011,75,1
966,2012,75,1
967,2013,75,5
968,2014,75,1
969,2015,75,1
970,2016,75,2
971,2017,75,8
972,2018,75,5
973,2019,75,3
974,2020,75,4
975,2008,76,2
976,2009,76,1
977,2010,76,3
978,2011,76,7
979,2012,76,2
980,2013,76,1
981,2014,76,6
982,2015,76,7
983,2016,76,1
984,2017,76,2
985,2018,76,1
986,2019,76,4
987,2020,76,5
988,2008,77,1
989,2009,77,10
990,2010,77,1
991,2011,77,1
992,2012,77,3
993,2013,77,15
994,2014,77,9
995,2015,77,2
996,2016,77,3
997,2017,77,4
998,2018,77,1
999,2019,77,10
1000,2020,77,3
1001,2008,78,3
1002,2009,78,20
1003,2010,78,6
1004,2011,78,8
1005,2012,78,7
1006,2013,78,11
1007,2014,78,16
1008,2015,78,21
1009,2016,78,3
1010,2017,78,11
1011,2018,78,10
1012,2019,78,5
1013,2020,78,26
1014,2008,79,1
1015,2009,79,9
1016,2010,79,2
1017,2011,79,3
1018,2012,79,1
1019,2013,79,2
1020,2014,79,1
1021,2015,79,1
1022,2016,79,1
1023,2017,79,1
1024,2018,79,2
1025,2019,79,2
1026,2020,79,4
1027,2008,80,1
1028,2009,80,4
1029,2010,80,7
1030,2011,80,2
1031,2012,80,9
1032,2013,80,1
1033,2014,80,4
1034,2015,80,1
1035,2016,80,5
1036,2017,80,3
1037,2018,80,3
1038,2019,80,18
1039,2020,80,4
1040,2008,81,2
1041,2009,81,1
1042,2010,81,1
1043,2011,81,1
1044,2012,81,1
1045,2013,81,1
1046,2014,81,1
1047,2015,81,1
1048,2016,81,1
1049,2017,81,1
1050,2018,81,1
1051,2019,81,1
1052,2020,81,1
1053,2008,82,1
1054,2009,82,5
1055,2010,82,15
1056,2011,82,19
1057,2012,82,4
1058,2013,82,6
1059,2014,82,4
1060,2015,82,8
1061,2016,82,10
1062,2017,82,7
1063,2018,82,10
1064,2019,82,9
1065,2020,82,23
1066,2008,83,1
1067,2009,83,2
1068,2010,83,1
1069,2011,83,2
1070,2012,83,4
1071,2013,83,3
1072,2014,83,1
1073,2015,83,1
1074,2016,83,1
1075,2017,83,6
1076,2018,83,1
1077,2019,83,1
1078,2020,83,5
1079,2008,84,1
1080,2009,84,3
1081,2010,84,8
1082,2011,84,1
1083,2012,84,1
1084,2013,84,7
1085,2014,84,3
1086,2015,84,10
1087,2016,84,12
1088,2017,84,10
1089,2018,84,20
1090,2019,84,11
1091,2020,84,8
1092,2008,85,1
1093,2009,85,1
1094,2010,85,3
1095,2011,85,7
1096,2012,85,1
1097,2013,85,3
1098,2014,85,1
1099,2015,85,1
1100,2016,85,2
1101,2017,85,6
1102,2018,85,3
1103,2019,85,2
1104,2020,85,7
1105,2008,86,1
1106,2009,86,2
1107,2010,86,2
1108,2011,86,8
1109,2012,86,1
1110,2013,86,13
1111,2014,86,10
1112,2015,86,9
1113,2016,86,9
1114,2017,86,1
1115,2018,86,1
1116,2019,86,4
1117,2020,86,5
1118,2008,87,1
1119,2009,87,2
1120,2010,87,1
1121,2011,87,2
1122,2012,87,9
1123,2013,87,11
1124,2014,87,21
1125,2015,87,2
1126,2016,87,2
1127,2017,87,7
1128,2018,87,1
1129,2019,87,1
1130,2020,87,4
1131,2008,88,1
1132,2009,88,1
1133,2010,88,1
1134,2011,88,1
1135,2012,88,1
1136,2013,88,1
1137,2014,88,1
1138,2015,88,1
1139,2016,88,1
1140,2017,88,1
1141,2018,88,1
1142,2019,88,1
1143,2020,88,1
